date,PM2.5,PM10,O3,NO2,SO2,CO,AQI
10/7/2021,99,38,42,16,10,4,173
10/8/2021,65,25,22,13,10,4,156
10/9/2021,43,9,22,6,9,2,119
10/10/2021,17,10,19,11,9,4,61
10/11/2021,19,15,32,9,10,3,66
10/12/2021,23,16,13,13,10,3,74
10/13/2021,24,9,15,9,9,2,76
10/14/2021,15,9,12,11,9,3,57
10/15/2021,16,10,17,11,9,4,59
10/16/2021,18,9,16,10,10,3,63
10/17/2021,14,11,9,12,10.03333333,4,55
10/18/2021,21,30,12,25,9,10,109
10/19/2021,51,43,21,28,10,9,139
10/20/2021,80,26,17,14,10,5,164
10/21/2021,43,17,23,13,10,4,119
10/22/2021,26,36,36,22,10,5,80
10/23/2021,61,42,43,20,10,5,154
10/24/2021,73,51,56,33,11,11,160
10/25/2021,93,67,66,39,14,11,170
10/26/2021,130,56,66,35,11,10,189
10/27/2021,107,55,21,27,11,7,178
10/28/2021,109,18,21,17,10,5,179
10/29/2021,35,10,18,11,10,4,99
